epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,487.532,0.40404,0.9375,1,0.15176,0.00054928,0.00054928,0.00054928
2,930.989,0.20833,0.9375,1,0.19972,0.000995557,0.000995557,0.000995557
3,1386.66,0.19261,0.94792,1,0.17134,0.00133181,0.00133181,0.00133181
4,1818.53,0.23738,0.95312,1,0.14432,0.0011719,0.0011719,0.0011719
5,2196.16,0.16704,0.94271,1,0.24041,0.00100687,0.00100687,0.00100687
6,2571.98,0.16801,0.98958,1,0.05946,0.000841835,0.000841835,0.000841835
7,2936.51,0.14263,0.96354,1,0.07369,0.000676802,0.000676802,0.000676802
8,3299.14,0.08671,0.96354,1,0.05758,0.000511769,0.000511769,0.000511769
9,3665.45,0.08958,0.97917,1,0.0497,0.000346736,0.000346736,0.000346736
10,4030.24,0.06072,0.98958,1,0.03482,0.000181703,0.000181703,0.000181703
